personId,age,rating
BANGRES15DEL01 ,28,4.6
JAPRES09DEL03 ,23,4.5
JAPRES07DEL03 ,21,4.8
CHENRES19DEL01 ,31,4.6
GOARES04DEL01 ,26,4.7
BANGRES19DEL02 ,23,4.8
KOLRES06DEL02 ,26,4.8
MYSRES05DEL03 ,35,4.9
HYDRES04DEL03 ,23,4.9
KOCRES09DEL01 ,24,4.8
VADRES04DEL01 ,22,4.6
RANCHIRES14DEL03 ,35,4.8
BANGRES11DEL01 ,33,4.8
RANCHIRES010DEL03 ,36,4.6
HYDRES19DEL03 ,34,4.6
COIMBRES03DEL03 ,38,4.2
HYDRES12DEL02 ,34,4.6
CHENRES20DEL03 ,37,4.7
KOCRES09DEL02 ,21,4.5
JAPRES20DEL03 ,28,2.7
PUNERES03DEL02 ,31,4.7
BANGRES13DEL03 ,37,4.5
HYDRES12DEL03 ,38,4.6
COIMBRES05DEL02 ,30,5
HYDRES18DEL03 ,22,4.8
INDORES20DEL02 ,38,4.7
HYDRES08DEL03 ,38,4.6
MYSRES03DEL01 ,29,4.7
COIMBRES01DEL02 ,21,4.7
COIMBRES17DEL02 ,20,5
SURRES03DEL01 ,22,4.3
SURRES11DEL02 ,23,4.7
CHENRES08DEL03 ,29,4.7
RANCHIRES09DEL02 ,36,4.7
RANCHIRES19DEL02 ,39,3.8
JAPRES02DEL02 ,20,4.6
COIMBRES12DEL02 ,31,4.1
COIMBRES05DEL01 ,39,4.7
HYDRES09DEL01 ,26,4.7
SURRES04DEL02 ,20,4.8
HYDRES01DEL03 ,35,4.7
INDORES01DEL03 ,26,4.9
VADRES16DEL01 ,23,4.4
CHENRES09DEL03 ,30,5
MYSRES13DEL01 ,30,4.4
LUDHRES12DEL01 ,39,4.1
COIMBRES02DEL02 ,23,4.6
CHENRES02DEL03 ,35,4.7
COIMBRES05DEL03 ,27,4.4
CHENRES03DEL01 ,28,5
INDORES01DEL02 ,33,4.8
MYSRES02DEL02 ,21,4.8
PUNERES13DEL03 ,34,4.4
JAPRES12DEL03 ,28,4.6
CHENRES06DEL03 ,27,4.7
VADRES06DEL01 ,36,4.9
BANGRES15DEL02 ,36,4.1
VADRES14DEL02 ,24,4.8
BANGRES05DEL03 ,23,4.9
MYSRES04DEL02 ,20,4.5
INDORES18DEL02 ,26,4.8
MYSRES16DEL03 ,33,4.1
PUNERES03DEL01 ,36,4.1
LUDHRES010DEL03 ,39,4.9
DEHRES02DEL01 ,30,4.7
RANCHIRES06DEL01 ,37,4.5
INDORES07DEL01 ,30,4.6
BHPRES17DEL01 ,28,4.1
JAPRES07DEL02 ,23,4.8
MUMRES09DEL01 ,37,5
COIMBRES07DEL01 ,38,4.8
INDORES15DEL02 ,25,5
ALHRES06DEL02 ,25,4.9
DEHRES19DEL02 ,32,4.7
PUNERES18DEL01 ,24,4.5
ALHRES16DEL01 ,26,4.6
INDORES03DEL01 ,29,4.7
BHPRES12DEL03 ,35,4.8
INDORES15DEL03 ,29,4.9
BANGRES18DEL02 ,23,4.6
MUMRES06DEL01 ,35,4.7
RANCHIRES04DEL02 ,37,4.8
MYSRES04DEL01 ,36,4.9
SURRES19DEL03 ,37,3.9
MYSRES17DEL02 ,27,4.9
PUNERES14DEL03 ,34,4.6
BANGRES05DEL03 ,24,4.5
CHENRES13DEL02 ,21,4.9
SURRES16DEL03 ,30,4.2
INDORES14DEL01 ,36,4.5
JAPRES010DEL01 ,35,4.8
PUNERES04DEL01 ,38,4.6
COIMBRES09DEL01 ,23,5
ALHRES11DEL03 ,35,4.6
MYSRES13DEL01 ,26,4.8
MYSRES17DEL02 ,24,4.6
VADRES07DEL02 ,31,4.9
AGRRES07DEL02 ,31,4.9
RANCHIRES03DEL03 ,26,4.7
AGRRES08DEL02 ,35,4.9
LUDHRES01DEL02 ,24,4.8
INDORES010DEL02 ,27,4.6
JAPRES20DEL02 ,36,4.3
PUNERES07DEL02 ,26,4.6
VADRES05DEL01 ,30,4.4
MUMRES02DEL03 ,34,4
GOARES010DEL02 ,28,4
INDORES05DEL01 ,24,4
RANCHIRES05DEL02 ,21,4.9
